,recipe,ingredients,prep_time_in_mins,cook_time_in_mins,recipe_link
0,tomato-rasam,"tomatoes,turmeric,salt ,water,Tamarind,jaggery,coriander leaves,oil,mustard seeds,cumin seeds,dried red chili ,curry leaves,hing,garlic,fenugreek seeds ,pepper corn,dried red chili",5,15,https://www.indianhealthyrecipes.com/tomato-rasam-recipe/
1,andhra-sambar-how-to-make-south-indian-sambar,"toor dal,water,tamarind ,jaggery,salt,turmeric,red chilli powder,coriander leaves,onion diced,tomato,carrot diced,vegetable drumsticks,bhindi,green chili,ghee,curry leaves,cumin seeds,mustard seeds,methi seeds,asafoetida,dried red chili,coriander seeds,chana dal,urad dal,methi seeds ,dried red chilies ",10,40,https://www.indianhealthyrecipes.com/andhra-sambar-recipe-how-to-make-south-indian-sambar/
2,pongal-venn-pongal,"rice,moong dal,water,salt,ghee,cashew nuts ,cumin seeds,black pepper corn,ginger ,curry leaves,asafoetida,green chili",5,25,https://www.indianhealthyrecipes.com/pongal-recipe-venn-pongal/
3,tomato-charu-tomato-rasam-andhra-style,"tomatoes,water ,ghee ,curry leaves,mustard seeds,cumin seeds,methi seeds,asafoetida ,dried red chili,garlic ,turmeric,coriander leaves,jaggery,tamarind,Kashmiri red chili,black pepper,coriander seeds,chana dal",5,12,https://www.indianhealthyrecipes.com/tomato-charu-recipe-tomato-rasam-recipe-andhra-style/
4,garelu-medhu-vadai,"urad dal,salt,Ice cold water,Oil,pepper corn ,green chilies,onions,curry leaves,cumin seeds,ginger",15,25,https://www.indianhealthyrecipes.com/garelu-medhu-vadai-recipe/
5,idli-podi-idli-podi,"chana dal,urad dal,sesame seeds,salt,dried red chilies,cumin seeds,curry leaves,dried coconut,garlic cloves,hing",5,7,https://www.indianhealthyrecipes.com/idli-podi-recipe-idli-podi/
6,idli-sambar-tiffin-sambar,"dal,water,tamarind,Salt as needed,shallots,french beans,carrot,pumpkin,tomato,turmeric,red chilli powder,coriander leaves ,oil or ghee,curry leaves,dried red chili ,cumin seeds,mustard seeds,methi seeds,hing,urad dal,chana dal,dried red chilies ,coriander seeds,coconut",15,20,https://www.indianhealthyrecipes.com/idli-sambar-recipe-tiffin-sambar/
7,veg-kurma-vegetable-korma,"fresh coconut,cashew nuts,fennel seeds,roasted chana dal,water,bay leaf,star anise,mace,cumin,green cardamoms,cloves,cinnamon ,oil,onions,green chilli,ginger garlic paste,tomatoes,salt,beans,carrot,cauliflower,potatoes,green peas,coriander leaves,turmeric,red chili powder,garam masala",10,25,https://www.indianhealthyrecipes.com/veg-kurma-recipe-vegetable-korma-recipe/
8,dosa-dosa-batter,"urad dal,water,rice,chana dal,fenugreek seeds,poha,rock salt ,whole urad dal,methi seeds",10,25,https://www.indianhealthyrecipes.com/dosa-recipe-dosa-batter/
9,tomato-rice,"aged basmati rice,oil,onion,green chili ,ginger garlic paste,tomatoes,salt,garam masala,red chili powder,Turmeric,water for cooker,coriander leaves,lemon juice,whole cashewnuts,bay leaf,cumin seeds,cinnamon piece,green cardamoms ,cloves",10,30,https://www.indianhealthyrecipes.com/tomato-rice-recipe/
10,ribbon-pakoda-ribbon-murukku-aaku-pakodi,"gram flour,fried gram,rice flour,red chili powder,cumin seeds,asafoetida,white sesame seeds,hot oil,salt,oil,green chilies,ginger ",5,20,https://www.indianhealthyrecipes.com/ribbon-pakoda-recipe-ribbon-murukku-aaku-pakodi/
11,mixed-dal-vada,"moong dal,bengal gram,urad dal ,garam masala,ginger garlic paste,onion,green chilies,dried red chilies,curry leaves,coriander leaves,cumin seeds,salt,Oil",2,25,https://www.indianhealthyrecipes.com/mixed-dal-vada-recipe/
12,tomato-pappu,"split pigeon peas ,tomatoes,green chilies,water,tamarind,turmeric,salt,Ghee ,curry leaves,cumin ,mustard seeds,garlic,red chilli,red chilli powder,hing",5,25,https://www.indianhealthyrecipes.com/tomato-pappu-recipe/
13,mushroom-biryani,"basmati rice,mushrooms sliced,onion,tomatoes,mint leaves,coriander leaves,green chilies,ginger garlic paste,Oil,red chili powder,curd,water or coconut milk,bay leaf,star anise,shahi jeera,green cardamoms,cinnamon,cloves,fennel seeds,mace,nutmeg,stone flower",5,25,https://www.indianhealthyrecipes.com/mushroom-biryani-recipe/
14,murukulu-murukku-jantikalu,"rice flour,urad dal,hot oil,sesame seeds,carom seeds,salt,red chili powder,asafoetida,oil for deep frying,besan,butter,Water,Jaggery,cardamom powder,Oil,dried ginger powder,nutmeg",10,50,https://www.indianhealthyrecipes.com/murukulu-murukku-recipe-jantikalu/
15,coconut-rice,"uncooked aged rice,water,coconut,salt,green chili,dried red chili,oil,mustard seeds,cumin seeds,hing,chana dal,urad dal,ginger,cashewnuts",10,15,https://www.indianhealthyrecipes.com/coconut-rice-recipe/
16,butter-murukku-easy-murukku,"rice flour,fried gram flour,besan,soft butter,salt,Water,hing,cumin,oil",7,20,https://www.indianhealthyrecipes.com/butter-murukku-recipe-easy-murukku-recipe/
17,soft-idli-using-idli-rava,"urad dal,idli rice,thick poha ,Non-iodized salt,chilled water,water,fenugreek seeds,thick poha",7,20,https://www.indianhealthyrecipes.com/soft-idli-recipe-using-idli-rava/
18,cabbage-vada,"chana dal,cabbage,ginger paste,garam masala,red chili powder,mint leaves,green chilies chopped,rice flour,salt,coriander leaves",7,25,https://www.indianhealthyrecipes.com/cabbage-vada-recipe/
19,podi-idli,"peanuts,chana dal,urad dal,dried red chilies ,sesame seeds,copra ,cumin seeds,curry leaves ,tamarind,jaggery,salt,large idlis ,ghee ,mustard seeds",5,5,https://www.indianhealthyrecipes.com/podi-idli-recipe/
20,corn-pakoda-pakora,"Sweet corn,ginger garlic paste,cumin seeds,besan,rice flour,garam masala,onion,green chilies,curry leaves,Salt,turmeric,red chili powder,Oil",5,20,https://www.indianhealthyrecipes.com/corn-pakoda-recipe-pakora-recipe/
21,wheat-dosa-wheat-uttapam-step-by-step-pics,"wheat flour,rice flour,salt,cumin seeds,curry leaves,green chilies,water,ghee,onions,ginger,curd",3,12,https://www.indianhealthyrecipes.com/wheat-dosa-recipe-wheat-uttapam-step-by-step-pics/
22,vangi-bath-brinjal-fried-rice,"raw rice,Oil, onion,green chili ,brinjals ,peanuts,Lemon juice,salt ,curry leaves,mustard seeds,cumin seeds,chana dal ,urad dal,red chilies,Coriander seeds ,channa dal ,methi seeds ,cloves,cinnamon stick ,Dry coconut",5,25,https://www.indianhealthyrecipes.com/vangi-bath-recipe-brinjal-fried-rice-recipe/
23,bitter-gourd-curry-karela-sabzi,"karela,onion,green chilli,curry leaves,oil,cumin seeds,asafoetida,turmeric,Kashmiri red chili powder,coriander powder,fennel powder,salt,Lemon juice,coriander leaves",5,15,https://www.indianhealthyrecipes.com/bitter-gourd-curry-recipe-karela-sabzi/
24,ghee-rice,"basmati rice,ghee,onion ,water for Indian cooker,green chilies,Salt ,cashewnuts,raisins,cinnamon,cloves,green cardamoms,mace,star anise,bay leaf",5,15,https://www.indianhealthyrecipes.com/ghee-rice/
25,idli-upma,"Idli,oil,mustard seeds,cumin seeds,chana dal,urad dal,peanuts ,hing ,onion,ginger,curry leaves,green chilies ,turmeric ,salt,coriander leaves ,coconut",5,5,https://www.indianhealthyrecipes.com/idli-upma-recipe/
26,puliyogare,"rice,tamarind,jaggery ,salt,mustard seeds,peanuts,chana dal,urad dal,Salt,green chilies,red chili,oil,curry leaves,asafoetida,red chilies,coriander seeds,cumin,methi seeds,pepper corn,sesame seeds,dried coconut",10,20,https://www.indianhealthyrecipes.com/puliyogare-recipe/
27,mirchi-ka-salan-for-biryani,"peanuts,sesame seeds,desiccated coconut,oil,onion,ginger garlic paste,green chillis,mustard seeds,cumin seeds,curry leaves,water,salt ,tamarind,turmeric,garam masala,red chili powder",5,20,https://www.indianhealthyrecipes.com/mirchi-ka-salan-recipe-for-biryani/
28,pudina-chutney-idli-dosa-vada,"mint leaves,coriander leaves,sugar,salt,ginger,garlic clove,green chilies,yogurt,roasted cumin powder,chaat masala,coconut,pudina ,roasted bengal gram,cumin seeds,ginger ,salt as needed,lemon juice,Oil,dried red chili ,mustard seeds,urad dal,hing,water,fried gram or roasted peanuts",5,2,https://www.indianhealthyrecipes.com/pudina-chutney-recipe-idli-dosa-vada/
29,moong-dal-kheer-pesarapappu-payasam,"moong dal,water,thin coconut milk,jaggery,green cardamom powder,dry ginger powder,cashews,raisins,dried  coconut slices,Ghee,thick coconut milk",5,25,https://www.indianhealthyrecipes.com/moong-dal-kheer-recipe-pesarapappu-payasam-recipe/
30,potato-masala-aloo-masala,"potatoes,onions,ginger,Salt,oil,mustard seeds,cumin seeds,chana dal,urad dal,curry leaves,green chilies,turmeric,hing,coriander leaves",10,25,https://www.indianhealthyrecipes.com/potato-masala-aloo-masala/
31,tomato-curry-tomato-kura-andhra-tomato-curry,"tomatoes,onions,green chili,curry leaves,garlic,Oil,mustard seeds,cumin seeds,hing,red chili powder,turmeric,salt,coconut milk,almond meal ",5,15,https://www.indianhealthyrecipes.com/tomato-curry-tomato-kura-andhra-tomato-curry-recipe/
32,vegetable-pulao-easy-mixed-veg-and-soya-chunks-pulav,"rice,coconut milk ,ghee,onion,green chilli,carrot,potato ,green beans,green peas,ginger garlic paste,mint leaves ,salt,cashewnuts,bay leaf,green cardamoms,cloves,cinnamon,star anise,shahi jeera,strand mace,black cardamom,crushed fennel seeds,crushed black pepper",15,25,https://www.indianhealthyrecipes.com/vegetable-pulao-recipe-easy-mixed-veg-and-soya-chunks-pulav/
33,curry-leaves-chutney,"curry leaves ,green chilies ,cumin seeds,salt ,garlic cloves ,oil ,lemon juice ,chana dal ,urad dal ,fresh coconut ",7,5,https://www.indianhealthyrecipes.com/curry-leaves-chutney/
34,7-cups-burfi-besan,"besan,coconut,milk,ghee,sugar ,cardamom powder",5,35,https://www.indianhealthyrecipes.com/7-cups-burfi-recipe-besan/
35,akki-roti-akki-rotti,"rice flour,onion,coconut,carrot ,green chilli,coriander leaves,cumin,Salt,ginger grated,water,oil,sabsige soppu,chana dal ",5,15,https://www.indianhealthyrecipes.com/akki-roti-recipe-akki-rotti/
36,allam-pachadi,"Ginger,turmeric powder,tamarind,jaggery,Red chili powder,Salt,fenugreek seeds,curry leaves,mustard,oil,red chilies,garlic,hing",25,5,https://www.indianhealthyrecipes.com/allam-pachadi/
37,bendakaya-pulusu-okra-in-tamarind-gravy,"bendakayalu,curry leaves,methi seeds,onions ,green chili ,tomatoes,potatoes,Tamarind,turmeric,Salt,coriander powder,red chili powder,jaggery,Coriander leaves with tender stalks,Oil",15,20,https://www.indianhealthyrecipes.com/bendakaya-pulusu-okra-in-tamarind-gravy-recipe/
38,beetroot-thoran,"beetroot,coconut oil,mustard,curry leaves,onions,Salt,turmeric,fresh coconut,green chilies,garlic cloves,cumin seeds",5,15,https://www.indianhealthyrecipes.com/beetroot-thoran-recipe/
39,mysore-bonda,"wheat flour,rice flour,baking soda,salt ,curd,water ,cumin,onions,green chili,ginger ,coriander leaves ,oil ",5,20,https://www.indianhealthyrecipes.com/mysore-bonda-recipe/
40,indian-baby-food-chart,,5,20,https://www.indianhealthyrecipes.com/indian-baby-food-chart/
41,kakarakaya-fry-bitter-gourd-fry,"karela,Oil,salt,garlic,jaggery,copra,Tamarind,curry leaves,hing,cumin,Turmeric,red chili powder,coriander powder",10,20,https://www.indianhealthyrecipes.com/kakarakaya-fry-recipe-bitter-gourd-fry/
